Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,1500,10,SimpleLSTM,W2,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,TailMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,TailW1,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,FadeDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,W1,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,SimpleLSTM,W2,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,SimpleLSTM,FadeDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,SimpleLSTM,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,SimpleLSTM,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
